Date,Close SPX,Close XLK,Price relative
2021-02-23,3881.37,132.68,0.034183806
2021-02-22,3876.5,133.05,0.034322198
2021-02-19,3906.71,136.05,0.034824699
2021-02-18,3913.97,136.25,0.034811202
2021-02-17,3931.33,136.92,0.034827908
2021-02-16,3932.59,138.14,0.035126977
2021-02-12,3934.83,138.59,0.035221344
2021-02-11,3916.38,137.88,0.035205981
2021-02-10,3909.88,136.38,0.034880866
2021-02-09,3911.23,136.58,0.034919961
2021-02-08,3915.59,136.74,0.03492194
2021-02-05,3886.83,135.32,0.034815003
2021-02-04,3871.74,135.62,0.035028179
2021-02-03,3830.17,133.49,0.034852239
2021-02-02,3826.31,133.95,0.035007618
2021-02-01,3773.86,132.16,0.035019847
2021-01-29,3714.24,128.93,0.03471235
2021-01-28,3787.38,132.04,0.034863151
2021-01-27,3750.77,131.5,0.035059468
2021-01-26,3849.62,134.03,0.034816423
2021-01-25,3855.36,133.94,0.034741243
2021-01-22,3841.47,132.83,0.034577909
2021-01-21,3853.07,133.34,0.034606171
2021-01-20,3851.85,131.64,0.034175786
2021-01-19,3798.91,129.08,0.033978167
2021-01-15,3768.25,127.42,0.033814105
2021-01-14,3795.54,128.74,0.033918757
2021-01-13,3809.84,129.88,0.03409067
2021-01-12,3801.19,129.06,0.033952525
2021-01-11,3799.61,129.68,0.034129819
2021-01-08,3824.68,130.76,0.034188481
2021-01-07,3803.79,129.92,0.034155408
2021-01-06,3748.14,126.51,0.033752741
2021-01-05,3726.86,128.73,0.034541142
2021-01-04,3700.65,127.9,0.034561496
2020-12-31,3756.07,130.02,0.034615968
2020-12-30,3732.04,129.83,0.034787944
2020-12-29,3727.04,129.9,0.034853396
2020-12-28,3735.36,130.52,0.034941746
2020-12-24,3703.06,129.06,0.034852257
2020-12-23,3690.01,128.21,0.034745163
2020-12-22,3687.26,129.19,0.035036857
2020-12-21,3694.92,128.08,0.034663809
2020-12-18,3709.41,128.25,0.034574231
2020-12-17,3722.48,128.7,0.034573725
2020-12-16,3701.17,127.69,0.034499901
2020-12-15,3694.62,126.83,0.034328294
2020-12-14,3647.49,124.75,0.034201602
2020-12-11,3663.46,124.3,0.033929673
2020-12-10,3668.1,124.56,0.033957635
2020-12-09,3672.82,124.38,0.033864987
2020-12-08,3702.25,126.81,0.034252144
2020-12-07,3691.96,126.4,0.034236557
2020-12-04,3699.12,126.04,0.034072969
2020-12-03,3666.72,124.79,0.034033141
2020-12-02,3669.01,124.87,0.034033704
2020-12-01,3662.45,125.06,0.034146541
2020-11-30,3621.63,123.48,0.034095145
2020-11-27,3638.35,122.66,0.033713084
2020-11-25,3629.65,122.01,0.033614811
2020-11-24,3635.41,121.75,0.033490033
2020-11-23,3577.59,120.08,0.033564495
2020-11-20,3557.54,120.11,0.033762094
2020-11-19,3581.87,121.36,0.033881743
2020-11-18,3567.79,120.39,0.033743578
2020-11-17,3609.53,121.69,0.033713531
2020-11-16,3626.91,122.37,0.033739464
2020-11-13,3585.15,121.2,0.033806117
2020-11-12,3537.01,120.18,0.033977851
2020-11-11,3572.66,121.26,0.033941097
2020-11-10,3545.53,118.45,0.033408263
2020-11-09,3550.5,120.7,0.033995212
2020-11-06,3509.44,121.58,0.034643704
2020-11-05,3510.45,121.15,0.034511245
2020-11-04,3443.44,117.5,0.034122854
2020-11-03,3369.02,113.1,0.033570593
2020-11-02,3310.24,111.14,0.033574605
2020-10-30,3269.96,110.86,0.033902555
2020-10-29,3310.11,113.37,0.034249617
2020-10-28,3271.03,111.51,0.03409018
2020-10-27,3390.68,116.45,0.034344143
2020-10-26,3400.97,115.87,0.034069692
2020-10-23,3465.39,118.44,0.034177971
2020-10-22,3453.49,118.57,0.034333384
2020-10-21,3435.56,119.13,0.03467557
2020-10-20,3443.12,119.31,0.034651711
2020-10-19,3426.92,118.9,0.034695879
2020-10-16,3483.81,121.12,0.034766534
2020-10-15,3483.34,121.47,0.034871704
2020-10-14,3488.67,122.02,0.03497608
2020-10-13,3511.93,122.67,0.034929512
2020-10-12,3534.22,123.46,0.034932743
2020-10-09,3477.13,120.18,0.034562987
2020-10-08,3446.83,118.37,0.034341699
2020-10-07,3419.45,117.76,0.034438287
2020-10-06,3360.95,115.64,0.034406939
2020-10-05,3408.63,117.46,0.034459592
2020-10-02,3348.44,114.94,0.034326433
2020-10-01,3380.8,117.93,0.034882276
2020-09-30,3363,116.7,0.03470116
2020-09-29,3335.47,115.73,0.034696759
2020-09-28,3351.6,116.12,0.034646139
2020-09-25,3298.46,113.94,0.034543393
2020-09-24,3246.59,111.28,0.034275963
2020-09-23,3236.92,110.66,0.03418682
2020-09-22,3315.57,114.22,0.034449582
2020-09-21,3281.06,112.44,0.034269413
2020-09-18,3319.47,111.76,0.033668025
2020-09-17,3357.01,113.72,0.033875383
2020-09-16,3385.49,114.67,0.03387102
2020-09-15,3401.2,116.47,0.034243796
2020-09-14,3383.54,115.33,0.034085603
2020-09-11,3340.97,112.96,0.03381054
2020-09-10,3339.19,113.83,0.034089105
2020-09-09,3398.96,116.46,0.034263422
2020-09-08,3331.84,112.78,0.033849164
2020-09-04,3426.96,118.12,0.034467867
2020-09-03,3455.06,119.79,0.034670888
2020-09-02,3580.84,127.03,0.035474917
2020-09-01,3526.65,125.91,0.035702437
2020-08-31,3500.31,123.55,0.035296874
2020-08-28,3508.01,123.16,0.035108224
2020-08-27,3484.55,122.09,0.035037523
2020-08-26,3478.73,121.99,0.035067395
2020-08-25,3443.62,119.56,0.034719278
2020-08-24,3431.28,118.96,0.034669278
2020-08-21,3397.16,117.94,0.034717234
2020-08-20,3385.51,116.46,0.034399544
2020-08-19,3374.85,114.93,0.034054847
2020-08-18,3389.78,115.07,0.033946156
2020-08-17,3381.99,114.64,0.033897203
2020-08-14,3372.85,113.88,0.033763731
2020-08-13,3373.43,113.96,0.033781641
2020-08-12,3380.35,113.91,0.033697694
2020-08-11,3333.69,111.38,0.033410425
2020-08-10,3360.47,113.42,0.033751231
2020-08-07,3351.28,113.74,0.033939271
2020-08-06,3349.16,115.46,0.034474316
2020-08-05,3327.77,113.86,0.034215105
2020-08-04,3306.51,113.44,0.034308077
2020-08-03,3294.61,113.15,0.034343974
2020-07-31,3271.12,110.43,0.033759079
2020-07-30,3246.22,107.74,0.033189371
2020-07-29,3258.44,107.14,0.032880765
2020-07-28,3218.44,105.61,0.032814034
2020-07-27,3239.41,106.86,0.032987488
2020-07-24,3215.63,105.2,0.032715207
2020-07-23,3235.66,106.49,0.032911369
2020-07-22,3276.02,109.33,0.033372812
2020-07-21,3257.3,108.46,0.033297516
2020-07-20,3251.84,109.56,0.033691695
2020-07-17,3224.73,106.83,0.033128355
2020-07-16,3215.57,106.31,0.033061013
2020-07-15,3226.56,107.64,0.033360607
2020-07-14,3197.52,107.06,0.033482199
2020-07-13,3155.22,105.84,0.033544412
2020-07-10,3185.04,108.08,0.03393364
2020-07-09,3152.05,108.11,0.034298314
2020-07-08,3169.94,107.72,0.033981716
2020-07-07,3145.32,105.99,0.033697684
2020-07-06,3179.72,107.11,0.033685356
2020-07-02,3130.01,105.27,0.03363248
2020-07-01,3115.86,104.66,0.033589442
2020-06-30,3100.29,104.49,0.033703299
2020-06-29,3053.24,102.65,0.033620023
2020-06-26,3009.05,101.54,0.03374487
2020-06-25,3083.76,103.58,0.033588866
2020-06-24,3050.33,102.27,0.03352752
2020-06-23,3131.29,104.63,0.033414344
2020-06-22,3117.86,103.88,0.033317724
2020-06-19,3097.74,102.24,0.033004707
2020-06-18,3115.34,102.95,0.033046152
2020-06-17,3113.49,102.49,0.032918044
2020-06-16,3124.74,102.51,0.032805929
2020-06-15,3066.59,100.37,0.032730166
2020-06-12,3041.31,99.41,0.032686573
2020-06-11,3002.1,98.14,0.03269045
2020-06-10,3190.14,104.11,0.032634931
2020-06-09,3207.18,102.4,0.031928361
2020-06-08,3232.39,101.92,0.031530849
2020-06-05,3193.93,101.41,0.031750852
2020-06-04,3112.35,98.81,0.031747715
2020-06-03,3122.87,99.63,0.031903345
2020-06-02,3080.82,98.86,0.032088859
2020-06-01,3055.73,97.94,0.032051261
2020-05-29,3044.31,97.97,0.032181348
2020-05-28,3029.73,96.75,0.031933539
2020-05-27,3036.13,96.94,0.031928804
2020-05-26,2991.77,96.39,0.032218386
2020-05-22,2955.45,96.49,0.032648158
2020-05-21,2948.51,96.14,0.032606299
2020-05-20,2971.61,97.5,0.032810497
2020-05-19,2922.94,95.41,0.032641792
2020-05-18,2953.91,95.76,0.032418049
2020-05-15,2863.7,93.47,0.032639592
2020-05-14,2852.5,93,0.03260298
2020-05-13,2820,91.83,0.03256383
2020-05-12,2870.12,93.44,0.03255613
2020-05-11,2930.32,95.41,0.032559584
2020-05-08,2929.8,94.78,0.032350331
2020-05-07,2881.19,93.41,0.032420632
2020-05-06,2848.42,92.03,0.03230914
2020-05-05,2868.44,91.32,0.03183612
2020-05-04,2842.74,90.08,0.031687738
2020-05-01,2830.71,88.9,0.031405548
2020-04-30,2912.43,91.41,0.031386162
2020-04-29,2939.51,91.82,0.031236499
2020-04-28,2863.39,88.2,0.03080265
2020-04-27,2878.48,89.39,0.031054584
2020-04-24,2836.74,88.63,0.031243611
2020-04-23,2797.8,86.79,0.031020802
2020-04-22,2799.31,87.39,0.031218407
2020-04-21,2736.56,84.15,0.030750285
2020-04-20,2823.16,87.83,0.031110529
2020-04-17,2874.56,89.26,0.031051709
2020-04-16,2799.55,88.09,0.031465771
2020-04-15,2783.36,87.03,0.031267964
2020-04-14,2846.06,88.97,0.03126076
2020-04-13,2761.63,85.39,0.030920145
2020-04-09,2789.82,85.2,0.030539605
2020-04-08,2749.98,85.18,0.030974771
2020-04-07,2659.41,82.95,0.031191129
2020-04-06,2663.68,83.7,0.031422693
2020-04-03,2488.65,77.12,0.030988689
2020-04-02,2526.9,78.33,0.030998457
2020-04-01,2470.5,76.54,0.030981583
2020-03-31,2584.59,80.37,0.031095841
2020-03-30,2626.65,81.9,0.031180401
2020-03-27,2541.47,78.59,0.030923048
2020-03-26,2630.07,82.31,0.031295745
2020-03-25,2475.56,77.51,0.031310087
2020-03-24,2447.33,77.61,0.031712111
2020-03-23,2237.4,70.4,0.031465093
2020-03-20,2304.92,71.42,0.030985891
2020-03-19,2409.39,74.85,0.031065954
2020-03-18,2398.1,74.58,0.031099621
2020-03-17,2529.19,77.5,0.030642221
2020-03-16,2386.13,72.56,0.030409072
2020-03-13,2711.02,84.19,0.031054732
2020-03-12,2480.64,75.35,0.030375226
2020-03-11,2741.38,83.5,0.030459112
2020-03-10,2882.23,87.64,0.030407011
2020-03-09,2746.56,82.16,0.029913783
2020-03-06,2972.37,88.91,0.029912158
2020-03-05,3023.94,90.83,0.030036972
2020-03-04,3130.12,93.79,0.029963707
2020-03-03,3003.37,89.93,0.029943031
2020-03-02,3090.23,93.48,0.030250176
2020-02-28,2954.22,88.37,0.029913141
2020-02-27,2978.76,87.7,0.029441781
2020-02-26,3116.39,92.7,0.029745956
2020-02-25,3128.21,92.28,0.029499298
2020-02-24,3225.89,95.33,0.029551535
2020-02-21,3337.75,99.44,0.029792525
2020-02-20,3373.23,101.72,0.030155074
2020-02-19,3386.15,102.79,0.030356009
2020-02-18,3370.29,101.58,0.03013984
2020-02-14,3380.16,101.96,0.030164253
2020-02-13,3373.94,101.52,0.03008945
2020-02-12,3379.45,101.79,0.030120286
2020-02-11,3357.75,100.7,0.029990321
