Date,Close SPX,Close XLK,Price Relative
11/25/2012,1416.18,29.13,0.020569419
11/18/2012,1409.15,28.85,0.020473335
11/11/2012,1359.88,27.66,0.02034003
11/4/2012,1379.85,28.24,0.020465993
10/28/2012,1414.2,28.96,0.020478009
10/21/2012,1411.94,28.99,0.020532034
10/14/2012,1433.19,29.29,0.020436927
10/7/2012,1428.59,29.92,0.020943728
9/30/2012,1460.93,30.89,0.021144066
9/23/2012,1440.67,30.82,0.021392824
9/16/2012,1460.15,31.51,0.021579975
9/9/2012,1465.77,31.58,0.02154499
9/2/2012,1437.92,31.09,0.021621509
8/26/2012,1406.58,30.49,0.021676691
8/19/2012,1411.13,30.57,0.02166349
8/12/2012,1418.16,30.75,0.021683026
8/5/2012,1405.87,30.13,0.021431569
7/29/2012,1390.99,29.54,0.021236673
7/22/2012,1385.97,29.13,0.021017771
7/15/2012,1362.66,28.75,0.02109844
7/8/2012,1356.78,28.27,0.020836097
7/1/2012,1354.68,28.69,0.021178433
6/24/2012,1362.16,28.73,0.021091502
6/17/2012,1335.02,28.48,0.021333014
6/10/2012,1342.84,28.37,0.021126865
6/3/2012,1325.66,28.33,0.021370487
5/27/2012,1278.04,27.2,0.021282589
5/20/2012,1317.82,27.87,0.021148564
5/13/2012,1295.22,27.47,0.021208752
5/6/2012,1353.39,28.69,0.02119862
4/29/2012,1369.1,29.07,0.021232927
4/22/2012,1403.36,30.03,0.021398643
4/15/2012,1378.53,29.28,0.021240017
4/8/2012,1370.26,29.61,0.021609038
4/1/2012,1398.08,30.17,0.021579595
3/25/2012,1408.47,30.16,0.021413307
3/18/2012,1397.11,29.98,0.021458582
3/11/2012,1404.17,29.88,0.021279475
3/4/2012,1370.87,29.18,0.021285753
2/26/2012,1369.63,29.08,0.021232012
2/19/2012,1365.74,28.82,0.021102113
2/12/2012,1361.23,28.52,0.020951639
2/5/2012,1342.64,28.03,0.02087678
1/29/2012,1344.9,27.71,0.020603762
1/22/2012,1316.33,26.9,0.020435605
1/15/2012,1315.38,26.8,0.02037434
1/8/2012,1289.09,26.08,0.020231326
1/1/2012,1277.81,25.97,0.020323835
